"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Brasil e Unidade da Federação";"Ano"
"Cód.";"Brasil e Unidade da Federação";"2023"
"1";"Brasil";"10943345439"
"11";"Rondônia";"76456179"
"12";"Acre";"26291321"
"13";"Amazonas";"161794976"
"14";"Roraima";"25124805"
"15";"Pará";"254546511"
"16";"Amapá";"28020120"
"17";"Tocantins";"64317699"
"21";"Maranhão";"149227195"
"22";"Piauí";"80916856"
"23";"Ceará";"232239257"
"24";"Rio Grande do Norte";"101740275"
"25";"Paraíba";"96963174"
"26";"Pernambuco";"270474919"
"27";"Alagoas";"89688932"
"28";"Sergipe";"60816662"
"29";"Bahia";"430987853"
"31";"Minas Gerais";"971977551"
"32";"Espírito Santo";"209829732"
"33";"Rio de Janeiro";"1172871443"
"35";"São Paulo";"3444814033"
"41";"Paraná";"670919162"
"42";"Santa Catarina";"513392973"
"43";"Rio Grande do Sul";"650107022"
"50";"Mato Grosso do Sul";"184402118"
"51";"Mato Grosso";"273008586"
"52";"Goiás";"336746975"
"53";"Distrito Federal";"365669108"
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA"

"Notas"
"1 - Os dados de 2022 e 2023 estarão sujeitos a revisão na próxima publicação."
"2 - Para os anos de 2022 e 2023 foram divulgados apenas o Produto Interno Bruto e o Produto Interno Bruto per capita, conforme a nota técnica 02/2024 do Sistema de Contas Nacionais, que pode ser acessada em https://biblioteca.ibge.gov.br/visualizacao/livros/liv102094.pdf."
"3 - Os dados da série retropolada (de 2002 a 2009) também têm como referência o ano de 2010, seguindo a nova referência das Contas Nacionais."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
